Country,Year,Complaints,Losses
MN,2020,1937,32473442
MT,2020,1589,19538664
MV,2020,668,5022918
MX,2020,10216,144440919
MY,2020,5608,55360884
MZ,2020,3510,16760987
,2020,430,5249534
NG,2020,3074,35736203
NI,2020,1400,5175487
NL,2020,85089,895396401
NO,2020,6733,54542901
NP,2020,2207,11937086
NZ,2020,3713,18466612
OM,2020,3882,14987636
PA,2020,1634,7821630
PE,2020,7339,27058091
PG,2020,1016,6431254
PH,2020,10642,166452785
PK,2020,52024,200518146
PL,2020,42442,362788093
PR,2021,1785,9463928
PS,2021,3352,48918464
PT,2021,2102,18205913
PY,2021,3188,26677869
AE,2021,10164,131934602
AF,2021,1226,17334907
AL,2021,2114,25528929
AM,2021,3551,44322212
AO,2021,1207,8467667
AR,2021,8548,212672747
AT,2021,15412,116199865
AU,2021,54330,664501941
AZ,2021,4117,55559557
RO,2021,31549,301879874
BA,2021,13041,55776221
RS,2021,19484,129659345
BD,2021,21137,400343277
RU,2021,264533,5932226222
BE,2021,11842,142566044
BG,2021,24968,248788813
BH,2021,10917,131102183
SA,2021,1115,23930228
BR,2021,174117,894516056
SC,2021,57050,643725512
SE,2021,78842,615839471
SG,2021,139124,1834545540
SI,2021,654,14206301
BY,2021,8498,109694772
SK,2021,4336,23441713
BZ,2021,612,5194911
CA,2021,73526,1161857486
SV,2021,749,14236747
CH,2021,14344,204927558
SZ,2021,9415,73533565
CL,2021,2624,60731300
CN,2021,940125,5067323422
CO,2021,15699,109189140
CR,2021,815,11177920
TH,2021,28961,247890207
CY,2021,1762,12133741
CZ,2021,68328,431356435
TR,2021,30367,392571792
DE,2021,164061,2226372097
TW,2021,23412,403540295
TZ,2021,4917,23961290
DK,2021,10529,78734767
DO,2021,13998,104934081
UA,2021,110254,2590458387
UG,2021,1058,6096969
US,2021,829571,6466618579
EC,2021,10130,75385877
EE,2021,12971,102711672
EG,2021,2722,36567441
UZ,2021,1459,21396751
ES,2021,76578,692305090
VE,2021,16529,168584712
VG,2021,1995,33292428
VN,2021,40567,624738922
FI,2021,17554,442442726
FR,2021,204190,2305495866
GB,2021,357679,2740678986
GE,2021,2949,22863562
GH,2021,866,11183262
GN,2021,528,5487083
GR,2021,10211,100042024
GT,2021,4657,51948711
HK,2021,225295,1732897646
HN,2021,13421,152669227
HR,2021,2326,18793743
YE,2021,391,6237592
HU,2021,6390,140588839
ID,2021,57876,972015041
IE,2021,25510,544309794
IL,2021,13563,110534215
IN,2021,89534,2062881042
ZA,2021,79227,1324036298
IQ,2021,59837,313674949
IR,2021,74786,843019965
IS,2021,655,5624854
IT,2021,99708,667686968
ZW,2021,775,6764235
JO,2021,882,5933560
JP,2021,161803,1088839354
KE,2021,3777,41314068
KG,2021,8796,223117975
KH,2021,11881,131850198
KN,2021,576,7953931
KR,2021,36409,572452315
KZ,2021,17175,334183044
LB,2021,5665,72133701
LK,2021,779,11815830
LT,2021,11359,120550579
LU,2021,1055,22175186
LV,2021,7659,50261795
LY,2021,1825,18937753
MD,2021,9518,54354359
MM,2021,3638,28074566
MN,2021,1514,52528265
MT,2021,1402,32583587
MV,2021,574,4362630
MX,2021,9626,238351830
MY,2021,5851,131437045
MZ,2021,3203,29921649
,2021,647,7782176
NG,2021,2203,56107226
NI,2021,1584,9004728
NL,2021,95372,1437353585
NO,2021,10130,64274074
NP,2021,2485,19275846
NZ,2021,4210,44661082
OM,2021,3538,21448883
PA,2021,1280,14020511
PE,2021,8250,53418304
PG,2021,1065,12315882
PH,2021,8192,276511773
PK,2021,40944,341893089
PL,2021,37317,596864046
PR,2022,1594,17211758
PS,2022,3210,57796003
PT,2022,1918,30859319
PY,2022,3768,40114594
AE,2022,10042,187062157
AF,2022,982,36751138
AL,2022,1996,37709595
AM,2022,3656,90439473
AO,2022,1222,13342081
AR,2022,6752,399595418
AT,2022,11239,133170619
AU,2022,43610,974136831
AZ,2022,4385,66376883
RO,2022,28823,349041126
BA,2022,11519,132423841
RS,2022,15267,200497281
BD,2022,25822,673263063
RU,2022,296978,7664442141
BE,2022,10859,217821448
BG,2022,23525,338814414
BH,2022,10208,183388664
SA,2022,1077,25027493
BR,2022,155028,1644488725
SC,2022,48057,1004081887
SE,2022,85983,882362917
SG,2022,137210,3813537684
SI,2022,657,22294080
BY,2022,8395,143916635
SK,2022,3100,45874291
BZ,2022,570,8430382
CA,2022,71962,1857378939
SV,2022,825,19942832
CH,2022,15949,325885360
SZ,2022,8944,107487425
CL,2022,2451,113895219
CN,2022,764388,7405960835
CO,2022,15657,164002220
CR,2022,770,16613844
TH,2022,33569,298227985
CY,2022,1723,17339298
CZ,2022,49178,514944367
TR,2022,34165,626586973
DE,2022,203346,3442137764
TW,2022,29178,597702921
TZ,2022,4362,66303435
DK,2022,9954,119930937
DO,2022,16645,102536313
UA,2022,111410,3585569523
UG,2022,987,10859684
US,2022,769205,10304392551
EC,2022,8819,127649437
EE,2022,14979,169799799
EG,2022,2216,54836127
UZ,2022,1487,30686669
ES,2022,71212,1027272058
VE,2022,17147,178891015
VG,2022,1850,48459372
VN,2022,36128,971673882
FI,2022,29642,513111722
FR,2022,183886,3043377444
GB,2022,338939,5037818889
GE,2022,2760,33926202
GH,2022,812,20023734
GN,2022,597,6648059
GR,2022,9740,115032546
GT,2022,6416,53100301
HK,2022,254729,2360701043
HN,2022,12760,224899521
HR,2022,1879,24393753
YE,2022,482,9797841
HU,2022,4726,198716263
ID,2022,56299,1465738977
IE,2022,25234,770682201
IL,2022,13754,225640682
IN,2022,82980,2898740652
ZA,2022,76854,2082730216
IQ,2022,41170,605452580
IR,2022,41924,1314548035
IS,2022,622,7103744
IT,2022,74277,967404316
ZW,2022,729,10101328
JO,2022,868,8015475
JP,2022,157306,2253466948
KE,2022,3176,67202983
KG,2022,6508,282601093
KH,2022,14054,200408531
KN,2022,458,10228299
KR,2022,29216,875621156
KZ,2022,13293,490818787
LB,2022,8680,116848478
LK,2022,878,18551545
LT,2022,9666,188147563
LU,2022,812,32981892
LV,2022,5668,79401403
LY,2022,1908,25303239
MD,2022,5551,100461762
MM,2022,2329,36636924
MN,2022,2321,98551738
MT,2022,1547,39902875
MV,2022,577,9698308
MX,2022,12425,365325453
MY,2022,6937,187356525
MZ,2022,3254,33495225
,2022,602,11532811
NG,2022,3687,79935245
NI,2022,1571,17315195
NL,2022,80348,2216753376
NO,2022,9695,108540856
NP,2022,2130,28683974
NZ,2022,3972,58125970
OM,2022,4068,28911996
PA,2022,1594,20058995
PE,2022,7956,76468535
PG,2022,1073,18509434
PH,2022,11186,382348042
PK,2022,48572,681501827
PL,2022,48071,1207252948
PR,2023,1817,21018302
PS,2023,3378,69292891
PT,2023,2178,28700418
PY,2023,3487,33579643
AE,2023,11034,244238485
AF,2023,1150,38527355
AL,2023,2178,46707757
AM,2023,5041,114193013
AO,2023,1336,15792180
AR,2023,8511,372985785
AT,2023,9614,163158856
AU,2023,60204,1241532793
AZ,2023,4967,85199840
RO,2023,31255,552881444
BA,2023,13156,148850878
RS,2023,17658,199276163
BD,2023,26652,522834001
RU,2023,289271,11282113958
BE,2023,11848,184239517
BG,2023,26404,443783119
BH,2023,11853,234614837
SA,2023,1099,43606854
BR,2023,158423,1808030603
SC,2023,49245,1159638524
SE,2023,81499,876268421
SG,2023,144002,3828469818
SI,2023,658,22218114
BY,2023,8399,163144740
SK,2023,3544,69951666
BZ,2023,723,9110927
CA,2023,54220,2277570974
SV,2023,791,29082153
CH,2023,21098,270071586
SZ,2023,10325,110748724
CL,2023,3034,129479043
CN,2023,678224,8997589579
CO,2023,17214,203249469
CR,2023,1013,20887823
TH,2023,28129,425375149
CY,2023,2345,19199921
CZ,2023,60855,600351173
TR,2023,32269,761641603
DE,2023,178259,5575128098
TW,2023,29158,866022568
TZ,2023,6044,60317924
DK,2023,10211,117811560
DO,2023,14968,168606659
UA,2023,117532,4171982394
UG,2023,1300,17084728
US,2023,876894,11916782073
EC,2023,9335,142120063
EE,2023,18399,210872015
EG,2023,2482,68775642
UZ,2023,1414,31812459
ES,2023,69263,1266113273
VE,2023,11897,306878450
VG,2023,2123,48451711
VN,2023,51411,1166933394
FI,2023,26918,712562892
FR,2023,297363,3212220994
GB,2023,378554,3906023589
GE,2023,3265,34237776
GH,2023,765,22014808
GN,2023,655,8907146
GR,2023,10849,134866182
GT,2023,6169,84710783
HK,2023,242261,3458797505
HN,2023,13581,264720338
HR,2023,2280,28853906
YE,2023,400,9470640
HU,2023,4484,309048399
ID,2023,59403,2089001077
IE,2023,28289,856830691
IL,2023,14982,281333883
IN,2023,96339,3640042741
ZA,2023,69950,2521801141
IQ,2023,63177,524182382
IR,2023,69872,1502603054
IS,2023,751,11241606
IT,2023,84197,1192949271
ZW,2023,688,9698258
JO,2023,833,11136442
JP,2023,170208,1995347480
KE,2023,3993,68532563
KG,2023,11930,316897412
KH,2023,10343,241848538
KN,2023,540,9735063
KR,2023,35254,877591085
KZ,2023,12134,642098116
LB,2023,7894,120470644
LK,2023,750,22450558
LT,2023,8433,315202293
LU,2023,951,41315061
LV,2023,7348,95600192
LY,2023,2329,26933272
MD,2023,7045,89668934
MM,2023,3655,44240763
MN,2023,1999,93152308
MT,2023,1821,56426606
MV,2023,778,11432984
MX,2023,12870,446395507
MY,2023,6006,226431418
MZ,2023,3320,47474414
,2023,629,12975631
NG,2023,3556,102912199
NI,2023,1642,22964248
NL,2023,83301,3079554598
NO,2023,10366,195621525
NP,2023,2992,36890222
NZ,2023,4599,70383275
OM,2023,4468,49837425
PA,2023,1272,24329856
PE,2023,9527,101727109
PG,2023,1062,23087850
PH,2023,11365,534640287
PK,2023,53390,586037584
PL,2023,49459,1040011485
PR,2024,1974,31545772
PS,2024,3811,66002407
PT,2024,2209,40192274
PY,2024,2678,45168957
AE,2024,12071,280815215
AF,2024,1373,37684396
AL,2024,2218,56062725
AM,2024,3466,111820067
AO,2024,1438,18499615
AR,2024,8857,448223952
AT,2024,14534,145551079
AU,2024,64390,1491968034
AZ,2024,5706,78785876
RO,2024,33338,534185027
BA,2024,13605,191209005
RS,2024,18312,276403955
BD,2024,21185,764697415
RU,2024,324091,11161782401
BE,2024,12375,303148050
BG,2024,24208,522143452
BH,2024,12837,277949474
SA,2024,882,53680633
BR,2024,248765,2590565434
SC,2024,72589,1185940522
SE,2024,85663,1267709488
SG,2024,161666,4524535787
SI,2024,553,42624356
BY,2024,9192,171624833
SK,2024,3770,80074928
BZ,2024,572,12538008
CA,2024,71796,2542329668
SV,2024,872,29969414
CH,2024,22539,532068262
SZ,2024,11752,162203379
CL,2024,3501,195674840
CN,2024,868309,11299124337
CO,2024,14814,285005300
CR,2024,831,24076527
TH,2024,31341,534867939
CY,2024,1838,19483205
CZ,2024,60358,718180351
TR,2024,37909,901844914
DE,2024,146731,5279486289
TW,2024,28801,843230608
TZ,2024,5223,56671764
DK,2024,8616,125845887
DO,2024,15309,165843869
UA,2024,160414,5161336915
UG,2024,1188,15809008
US,2024,946966,14457011740
EC,2024,12406,197235551
EE,2024,20046,244151604
EG,2024,2688,99156499
UZ,2024,2014,52122352
ES,2024,85721,1244474108
VE,2024,20795,361746565
VG,2024,2194,44568346
VN,2024,50706,1427085868
FI,2024,25890,721920497
FR,2024,208832,4025659986
GB,2024,481671,6379113995
GE,2024,3306,47876570
GH,2024,1229,23766287
GN,2024,660,11773707
GR,2024,8408,157051155
GT,2024,6949,70899579
HK,2024,248576,2863308167
HN,2024,10132,282288918
HR,2024,3054,34319762
YE,2024,330,9792860
HU,2024,7157,274342202
ID,2024,53925,2432253507
IE,2024,31525,1499685797
IL,2024,16114,310489542
IN,2024,98092,4164403367
ZA,2024,90471,3044360891
IQ,2024,70055,803018708
IR,2024,74119,1614663021
IS,2024,609,14745257
IT,2024,91776,1328578738
ZW,2024,744,14344326
JO,2024,955,11618599
JP,2024,182470,3393546251
KE,2024,4245,85415845
KG,2024,10285,384798989
KH,2024,13086,294425335
KN,2024,523,15660694
KR,2024,29084,939580849
KZ,2024,18341,883976919
LB,2024,6248,148621809
LK,2024,974,22772342
LT,2024,10050,257790222
LU,2024,1099,45198080
LV,2024,8140,141459082
LY,2024,2359,35814196
MD,2024,9086,118929790
MM,2024,3960,55325202
MN,2024,2253,123314277
MT,2024,1347,66224639
MV,2024,1057,13304758
MX,2024,17969,506585917
MY,2024,5931,344158750
MZ,2024,4358,60688754
,2024,718,16184254
NG,2024,3601,118105851
NI,2024,1453,25763072
NL,2024,97619,3320490586
NO,2024,11172,187551761
NP,2024,2805,43141285
NZ,2024,4488,67076977
OM,2024,4692,66634987
PA,2024,1902,28577503
PE,2024,9251,91797172
PG,2024,1353,27177455
PH,2024,12797,576134379
PK,2024,71700,786591645
PL,2024,40855,1359253205
